Ngày,Đài,G.8,G.7,G.6,G.5,G.4,G.3,G.2,G.1,ĐB
01/05/2006,Cà Mau,37,487,063605411504,3727,82955651247737083022663745819906995,4159041569,42547,47745,89628
01/05/2006,Hồ Chí Minh,47,801,384733948614,7438,01785268076026673790573600164459843,4331237906,82134,73440,69820
01/05/2006,Đồng Tháp,23,803,747192157819,1080,71127224218215004692610663709742706,5635060041,73375,33203,16763
02/05/2006,Bạc Liêu,87,443,052740588042,1781,85138457894881581914918600020631810,0738416477,13726,79978,99019
02/05/2006,Bến Tre,11,247,587086406707,4203,08505022175205325660105687605597134,5617548427,09883,97437,41812
02/05/2006,Vũng Tàu,47,888,055920116038,9207,40404988141215464436579443852431658,1234357412,62633,48352,24391
03/05/2006,Cần Thơ,94,163,739700226000,1369,94311705871373471546732828569217206,4996559428,58829,75850,70348
03/05/2006,Sóc Trăng,78,739,731722644879,9216,49049499098538797178984211230304227,2571466332,93344,64067,23212
03/05/2006,Đồng Nai,22,135,727939952712,0918,55612587786419467165729179249380654,7466429312,57732,20402,81277
04/05/2006,An Giang,13,644,494423340047,5558,36981474495074322701299290865329028,1649647185,44823,21640,21160
04/05/2006,Bình Thuận,32,713,817863975417,7171,02510849018798923416885629496807055,8861301915,09057,96681,96642
04/05/2006,Tây Ninh,70,201,179802424465,8343,30424398043345462886389121663268073,7850595401,51379,27683,83487
05/05/2006,Bình Dương,04,707,118267994710,2822,35745648204004738180987393691723601,5848731571,19923,27169,03881
05/05/2006,Trà Vinh,46,326,337690596693,8741,82160786732334757189278750193563799,2229187771,14578,85171,00786
05/05/2006,Vĩnh Long,72,671,441092591313,8012,50311700729381509050137940160110743,5657252724,96205,78681,08195
06/05/2006,Bình Phước,60,617,574005121673,4721,33843576433946746193505760453805948,1151609288,50690,32997,15192
06/05/2006,Hậu Giang,01,803,910309391851,6872,58968202313052086435292119963916041,9120130000,95542,57050,24137
06/05/2006,Hồ Chí Minh,94,103,102624798898,2577,04485002276753992138397917607322222,1310278410,29225,04907,33549
